Issue_date	Name	Name_of_Issuer	CUSIP	Shares
2013-05-06	Adirondack_Funds	ABBOTT LABS	002824100	6,825
2013-05-06	Adirondack_Funds	ABBVIE INC	00287Y109	6,825
2013-05-06	Adirondack_Funds	AERCAP HOLDINGS NV	N00985106	85,810
2013-05-06	Adirondack_Funds	AEROPOSTALE	007865108	67,987
2013-05-06	Adirondack_Funds	ALBANY MOLECULAR RESH INC	012423109	114,083
2013-05-06	Adirondack_Funds	ALCATEL-LUCENT	013904305	441,740
2013-05-06	Adirondack_Funds	ALLSCRIPTS HEALTHCARE SOLUTN	01988P108	190,749
2013-05-06	Adirondack_Funds	ALTEVA	02153V102	21,875
2013-05-06	Adirondack_Funds	ASSURED GUARANTY LTD	G0585R106	89,600
2013-05-06	Adirondack_Funds	AT&T INC	00206R102	13,950
2013-05-06	Adirondack_Funds	AUTOBYTEL INC	05275N205	266,423
2013-05-06	Adirondack_Funds	AXT INC	00246W103	288,999
2013-05-06	Adirondack_Funds	BEBE STORES INC	075571109	305,808
2013-05-06	Adirondack_Funds	BENCHMARK ELECTRS INC	08160H101	83,288
2013-05-06	Adirondack_Funds	BOSTON SCIENTIFIC CORP	101137107	66,525
2013-05-06	Adirondack_Funds	BOULDER BRANDS INC	101405108	141,450
2013-05-06	Adirondack_Funds	BROADRIDGE FINL SOLUTIONS IN	11133T103	66,200
2013-05-06	Adirondack_Funds	BROCADE COMMUNICATIONS SYS I	111621306	406,400
2013-05-06	Adirondack_Funds	BROOKLINE BANCORP INC DEL	11373M107	201,674
2013-05-06	Adirondack_Funds	CAL MAINE FOODS INC	128030202	17,398
2013-05-06	Adirondack_Funds	CALLAWAY GOLF CO	131193104	346,608
2013-05-06	Adirondack_Funds	CHRISTOPHER & BANKS CORP	171046105	103,163
2013-05-06	Adirondack_Funds	CNO FINL GROUP INC	12621E103	264,478
2013-05-06	Adirondack_Funds	COCA COLA BOTTLING CO CONS	191098102	31,895
2013-05-06	Adirondack_Funds	COCA COLA ENTERPRISES INC NE	19122T109	13,550
2013-05-06	Adirondack_Funds	COEUR D ALENE MINES CORP IDA	192108504	55,291
2013-05-06	Adirondack_Funds	COMVERSE INC	20585P105	34,368
2013-05-06	Adirondack_Funds	CONSOLIDATED EDISON INC	209115104	5,100
2013-05-06	Adirondack_Funds	COSI INC	22122P101	811,498
2013-05-06	Adirondack_Funds	COVANTA HLDG CORP	22282E102	74,400
2013-05-06	Adirondack_Funds	COWEN GROUP INC NEW	223622101	627,160
2013-05-06	Adirondack_Funds	CRYOLIFE INC	228903100	235,288
2013-05-06	Adirondack_Funds	CTS CORP	126501105	188,312
2013-05-06	Adirondack_Funds	DOLE FOOD CO INC NEW	256603101	166,940
2013-05-06	Adirondack_Funds	DYNEGY INC NEW	26817R108	52,708
2013-05-06	Adirondack_Funds	ELECTRO SCIENTIFIC INDS	285229100	66,723
2013-05-06	Adirondack_Funds	EMCOR GROUP INC	29084Q100	64,434
2013-05-06	Adirondack_Funds	EMULEX CORP	292475209	204,207
2013-05-06	Adirondack_Funds	ENDURANCE SPECIALTY HLDGS LT	G30397106	44,258
2013-05-06	Adirondack_Funds	EXELON CORP	30161N101	14,680
2013-05-06	Adirondack_Funds	EXPRESS INC	30219E103	42,860
2013-05-06	Adirondack_Funds	FIRSTMERIT CORP	337915102	139,243
2013-05-06	Adirondack_Funds	FRESH DEL MONTE PRODUCE INC	G36738105	57,836
2013-05-06	Adirondack_Funds	GAIAM INC	36268Q103	265,370
2013-05-06	Adirondack_Funds	GENERAL ELECTRIC CO	369604103	17,325
2013-05-06	Adirondack_Funds	GENWORTH FINL INC COM	37247D106	319,300
2013-05-06	Adirondack_Funds	GFI GROUP INC	361652209	35,603
2013-05-06	Adirondack_Funds	GLOBAL POWER EQUIPMENT GRP I	37941P306	136,566
2013-05-06	Adirondack_Funds	HARDINGE INC	412324303	99,510
2013-05-06	Adirondack_Funds	HARTFORD FINL SVCS GROUP INC	416515104	21,725
2013-05-06	Adirondack_Funds	HOOPER HOLMES INC	439104100	1,939,156
2013-05-06	Adirondack_Funds	HUNTSMAN CORP	447011107	27,950
2013-05-06	Adirondack_Funds	IAC INTERACTIVECORP	44919P508	45,799
2013-05-06	Adirondack_Funds	INTRALINKS HLDGS INC	46118H104	267,377
2013-05-06	Adirondack_Funds	IPASS INC	46261V108	641,245
2013-05-06	Adirondack_Funds	JANUS CAP GROUP INC	47102X105	234,668
2013-05-06	Adirondack_Funds	JOHNSON & JOHNSON	478160104	2,500
2013-05-06	Adirondack_Funds	JOURNAL COMMUNICATIONS INC	481130102	414,619
2013-05-06	Adirondack_Funds	KEYNOTE SYS INC	493308100	79,395
2013-05-06	Adirondack_Funds	KROGER CO	501044101	9,525
2013-05-06	Adirondack_Funds	LSI INDS INC	50216C108	256,891
2013-05-06	Adirondack_Funds	MATRIX SVC CO	576853105	79,282
2013-05-06	Adirondack_Funds	METLIFE INC	59156R108	12,900
2013-05-06	Adirondack_Funds	MICROSOFT CORP	594918104	8,960
2013-05-06	Adirondack_Funds	MONDELEZ INTL INC	609207105	8,350
2013-05-06	Adirondack_Funds	MONTPELIER RE HOLDINGS LTD	G62185106	57,600
2013-05-06	Adirondack_Funds	MORGAN STANLEY	617446448	18,375
2013-05-06	Adirondack_Funds	MYERS INDS INC	628464109	44,108
2013-05-06	Adirondack_Funds	NISOURCE INC	65473P105	14,700
2013-05-06	Adirondack_Funds	NN INC	629337106	125,571
2013-05-06	Adirondack_Funds	OMEGA PROTEIN CORP	68210P107	195,806
2013-05-06	Adirondack_Funds	OWENS & MINOR INC NEW	690732102	74,151
2013-05-06	Adirondack_Funds	PAN AMERICAN SILVER CORP	697900108	55,400
2013-05-06	Adirondack_Funds	PFIZER INC	717081103	11,230
2013-05-06	Adirondack_Funds	PHOENIX COS INC NEW	71902E604	40,358
2013-05-06	Adirondack_Funds	PNM RES INC	69349H107	23,939
2013-05-06	Adirondack_Funds	PRGX GLOBAL INC	69357C503	184,127
2013-05-06	Adirondack_Funds	REAL GOODS SOLAR INC	75601N104	63,300
2013-05-06	Adirondack_Funds	REALNETWORKS INC	75605L708	122,332
2013-05-06	Adirondack_Funds	SANMINA CORPORATION	801056102	169,989
2013-05-06	Adirondack_Funds	SEABOARD CORP	811543107	755
2013-05-06	Adirondack_Funds	SEACHANGE INTL INC	811699107	179,724
2013-05-06	Adirondack_Funds	SELECTIVE INS GROUP INC	816300107	71,984
2013-05-06	Adirondack_Funds	SPRINT NEXTEL CORP	852061100	41,700
2013-05-06	Adirondack_Funds	STEWART INFORMATION SVCS COR	860372101	95,464
2013-05-06	Adirondack_Funds	TELLABS INC	879664100	80,171
2013-05-06	Adirondack_Funds	TETRA TECHNOLOGIES INC DEL	88162F105	233,686
2013-05-06	Adirondack_Funds	TRINITY BIOTECH PLC	896438306	161,507
2013-05-06	Adirondack_Funds	TRIQUINT SEMICONDUCTOR INC	89674K103	182,575
2013-05-06	Adirondack_Funds	TRUSTCO BK CORP N Y	898349105	60,750
2013-05-06	Adirondack_Funds	UNS ENERGY CORP	903119105	52,500
2013-05-06	Adirondack_Funds	VASCULAR SOLUTIONS INC	92231M109	54,917
