,Unnamed: 0,Fund Name,Date,Name of Stock,Type,Value,Shares
0,885.0,ADVANCE_CAPITAL_I_INC,2015-08-03,FMC CORP,COMMON STOCK,815.0,15500.0
1,1826.0,ADVANCE_CAPITAL_I_INC,2014-02-06,CORRECTIONS CORP,COMMON STOCK,673.0,21000.0
2,1857.0,ADVANCE_CAPITAL_I_INC,2014-02-06,FIRST NIAGARA FINANC,COMMON STOCK,662.0,62300.0
3,1375.0,ADVANCE_CAPITAL_I_INC,2014-11-07,GENPACT LTD,COMMON STOCK,1461.0,89500.0
5,1671.0,ADVANCE_CAPITAL_I_INC,2014-05-15,INGREDION INC,COMMON STOCK,1110.0,16300.0
7,1857.0,ADVANCE_CAPITAL_I_INC,2012-02-02,UNITED TECHNOLOGIES CORP,COMMONSTOCK,621.0,8500.0
8,1512.0,ADVANCE_CAPITAL_I_INC,2014-08-05,HERBALIFE LTD,COMMON STOCK,1555.0,24100.0
17,887.0,ADVANCE_CAPITAL_I_INC,2015-08-03,FOREST CITY ENTERPRI,COMMON STOCK,557.0,25200.0
18,556.0,ADVANCE_CAPITAL_I_INC,2016-02-08,L-3 COMMUNICATIONS,COMMON STOCK,562.0,4700.0
19,1726.0,ADVANCE_CAPITAL_I_INC,2014-05-15,ROVI CORP,COMMON STOCK,1246.0,54700.0
20,1948.0,ADVANCE_CAPITAL_I_INC,2014-02-06,PTC INC,COMMON STOCK,793.0,22400.0
22,194.0,ADVANCE_CAPITAL_I_INC,2013-05-01,ENDO PHARMACEUTICALS,COMMONSTOCK,1593.0,51800.0
23,1292.0,ADVANCE_CAPITAL_I_INC,2015-02-05,REGAL BELOIT CORP,COMMON STOCK,1083.0,14400.0
24,1800.0,ADVANCE_CAPITAL_I_INC,2014-02-06,CAMPUS CREST COMM,COMMON STOCK,598.0,63500.0
25,781.0,ADVANCE_CAPITAL_I_INC,2015-10-27,HOST HOTELS & RESORT,COMMON STOCK,255.0,16100.0
26,1339.0,ADVANCE_CAPITAL_I_INC,2014-11-07,ALLSTATE CORP,COMMON STOCK,1780.0,29000.0
28,1947.0,ADVANCE_CAPITAL_I_INC,2014-02-06,PERRIGO CO PLC,COMMON STOCK,1136.0,7400.0
30,448.0,ADVANCE_CAPITAL_I_INC,2016-05-09,SANTANDER CONSUMER,COMMON STOCK,113.0,10800.0
34,1895.0,ADVANCE_CAPITAL_I_INC,2014-02-06,KILROY REALTY CORP,COMMON STOCK,612.0,12200.0
35,386.0,ADVANCE_CAPITAL_I_INC,2016-05-09,DAVITA INC,COMMON STOCK,462.0,6300.0
37,1830.0,ADVANCE_CAPITAL_I_INC,2012-02-02,MERCK & CO. INC.,COMMONSTOCK,3766.0,99900.0
39,1969.0,ADVANCE_CAPITAL_I_INC,2014-02-06,SL GREEN REALTY CORP,COMMON STOCK,637.0,6900.0
40,1092.0,ADVANCE_CAPITAL_I_INC,2015-05-07,KEMPER CORP,COMMON STOCK,966.0,24800.0
45,1464.0,ADVANCE_CAPITAL_I_INC,2012-08-09,WRIGHT EXPRESS CORP,COMMONSTOCK,617.0,10000.0
46,157.0,ADVANCE_CAPITAL_I_INC,2013-05-01,CAPITAL ONE FINANCIA,COMMONSTOCK,1643.0,29900.0
48,641.0,ADVANCE_CAPITAL_I_INC,2015-10-27,BRANDYWINE REALTY,COMMON STOCK,389.0,31600.0
49,764.0,ADVANCE_CAPITAL_I_INC,2015-10-27,BAXALTA INC,COMMON STOCK,239.0,7600.0
50,1277.0,ADVANCE_CAPITAL_I_INC,2012-08-09,HILL-ROM HOLDINGS,COMMONSTOCK,201.0,6500.0
51,2013.0,ADVANCE_CAPITAL_I_INC,2014-02-06,VISA INC,COMMON STOCK,1948.0,8750.0
52,332.0,ADVANCE_CAPITAL_I_INC,2013-05-01,PLAINS EXPLORATION,COMMONSTOCK,460.0,9700.0
56,589.0,ADVANCE_CAPITAL_I_INC,2016-02-08,REALOGY HOLDINGS,COMMON STOCK,297.0,8100.0
57,1594.0,ADVANCE_CAPITAL_I_INC,2014-05-15,ACE LTD,COMMON STOCK,1258.0,12700.0
60,91.0,Adirondack_Funds,2013-05-06,VASCULAR SOLUTIONS INC,COM,891.0,54917.0
64,1689.0,ADVANCE_CAPITAL_I_INC,2014-05-15,LAM RESEARCH CORP,COMMON STOCK,1287.0,23400.0
65,765.0,ADVANCE_CAPITAL_I_INC,2015-10-27,BIOMED REALTY TRUST,COMMON STOCK,338.0,16900.0
66,1656.0,ADVANCE_CAPITAL_I_INC,2014-05-15,GATX CORP,COMMON STOCK,1459.0,21500.0
68,198.0,ADVANCE_CAPITAL_I_INC,2013-05-01,EDWARDS LIFESCIENCES,COMMONSTOCK,633.0,7700.0
70,500.0,ADVANCE_CAPITAL_I_INC,2016-02-08,CF INDUSTRIES,COMMON STOCK,306.0,7500.0
72,1642.0,ADVANCE_CAPITAL_I_INC,2014-05-15,ENERGEN CORP,COMMON STOCK,1317.0,16300.0
74,207.0,ADVANCE_CAPITAL_I_INC,2013-05-01,F5 NETWORKS INC,COMMONSTOCK,548.0,6150.0
76,1858.0,ADVANCE_CAPITAL_I_INC,2012-02-02,UNITEDHEALTH GROUP INC,COMMONSTOCK,841.0,16600.0
78,1625.0,ADVANCE_CAPITAL_I_INC,2014-05-15,CONSOL ENERGY INC,COMMON STOCK,903.0,22600.0
80,946.0,ADVANCE_CAPITAL_I_INC,2015-08-03,NEXTERA ENERGY INC,COMMON STOCK,843.0,8600.0
81,1286.0,ADVANCE_CAPITAL_I_INC,2015-02-05,PHILLIPS 66,COMMON STOCK,1319.0,18400.0
82,1979.0,ADVANCE_CAPITAL_I_INC,2014-02-06,AT&T,COMMON STOCK,383.0,10890.0
84,70.0,Adirondack_Funds,2013-05-06,OMEGA PROTEIN CORP,COM,2105.0,195806.0
85,1645.0,ADVANCE_CAPITAL_I_INC,2014-05-15,ENSCO PLC,COMMON STOCK,918.0,17400.0
86,2012.0,ADVANCE_CAPITAL_I_INC,2014-02-06,UNIVERSAL CORP,COMMON STOCK,688.0,12600.0
