State	series_id                     	year	period	       value	footnote_codes
Mississippi	LASST280000000000003          	2010	M06	        10.2	
Mississippi	LASST280000000000003          	2011	M06	        10.2	
Mississippi	LASST280000000000003          	2012	M06	         9.0	
Mississippi	LASST280000000000003          	2013	M06	         8.6	
Mississippi	LASST280000000000003          	2014	M06	         7.6	B
Mississippi	LASST280000000000003          	2015	M06	         6.3	B
Mississippi	LASST280000000000004          	2010	M06	      132996	
Mississippi	LASST280000000000004          	2011	M06	      136574	
Mississippi	LASST280000000000004          	2012	M06	      119248	
Mississippi	LASST280000000000004          	2013	M06	      109734	
Mississippi	LASST280000000000004          	2014	M06	       94473	B
Mississippi	LASST280000000000004          	2015	M06	       80178	B
Mississippi	LASST280000000000005          	2010	M06	     1173441	
Mississippi	LASST280000000000005          	2011	M06	     1207954	
Mississippi	LASST280000000000005          	2012	M06	     1200361	
Mississippi	LASST280000000000005          	2013	M06	     1165168	
Mississippi	LASST280000000000005          	2014	M06	     1152877	B
Mississippi	LASST280000000000005          	2015	M06	     1185003	B
Mississippi	LASST280000000000006          	2010	M06	     1306437	
Mississippi	LASST280000000000006          	2011	M06	     1344528	
Mississippi	LASST280000000000006          	2012	M06	     1319609	
Mississippi	LASST280000000000006          	2013	M06	     1274902	
Mississippi	LASST280000000000006          	2014	M06	     1247350	B
Mississippi	LASST280000000000006          	2015	M06	     1265181	B
Mississippi	LAUCA281850000000003          	2010	M06	        13.8	R
Mississippi	LAUCA281850000000003          	2011	M06	        14.0	R
Mississippi	LAUCA281850000000003          	2012	M06	        13.1	R
Mississippi	LAUCA281850000000003          	2013	M06	        13.3	R
Mississippi	LAUCA281850000000003          	2014	M06	        11.7	R
Mississippi	LAUCA281850000000003          	2015	M06	        10.0	R
Mississippi	LAUCA281850000000004          	2010	M06	        3325	R
Mississippi	LAUCA281850000000004          	2011	M06	        3451	R
Mississippi	LAUCA281850000000004          	2012	M06	        3110	R
Mississippi	LAUCA281850000000004          	2013	M06	        3023	R
Mississippi	LAUCA281850000000004          	2014	M06	        2566	R
Mississippi	LAUCA281850000000004          	2015	M06	        2200	R
Mississippi	LAUCA281850000000005          	2010	M06	       20768	R
Mississippi	LAUCA281850000000005          	2011	M06	       21279	R
Mississippi	LAUCA281850000000005          	2012	M06	       20691	R
Mississippi	LAUCA281850000000005          	2013	M06	       19691	R
Mississippi	LAUCA281850000000005          	2014	M06	       19400	R
Mississippi	LAUCA281850000000005          	2015	M06	       19723	R
Mississippi	LAUCA281850000000006          	2010	M06	       24093	R
Mississippi	LAUCA281850000000006          	2011	M06	       24730	R
Mississippi	LAUCA281850000000006          	2012	M06	       23801	R
Mississippi	LAUCA281850000000006          	2013	M06	       22714	R
Mississippi	LAUCA281850000000006          	2014	M06	       21966	R
Mississippi	LAUCA281850000000006          	2015	M06	       21923	R
Mississippi	LAUCA282000000000003          	2010	M06	        13.3	R
Mississippi	LAUCA282000000000003          	2011	M06	        12.5	R
Mississippi	LAUCA282000000000003          	2012	M06	        11.1	R
Mississippi	LAUCA282000000000003          	2013	M06	        11.6	R
Mississippi	LAUCA282000000000003          	2014	M06	        11.1	R
Mississippi	LAUCA282000000000003          	2015	M06	         8.6	R
Mississippi	LAUCA282000000000004          	2010	M06	        4588	R
Mississippi	LAUCA282000000000004          	2011	M06	        4532	R
Mississippi	LAUCA282000000000004          	2012	M06	        4022	R
Mississippi	LAUCA282000000000004          	2013	M06	        4199	R
Mississippi	LAUCA282000000000004          	2014	M06	        3676	R
Mississippi	LAUCA282000000000004          	2015	M06	        2850	R
Mississippi	LAUCA282000000000005          	2010	M06	       30026	R
Mississippi	LAUCA282000000000005          	2011	M06	       31730	R
Mississippi	LAUCA282000000000005          	2012	M06	       32303	R
Mississippi	LAUCA282000000000005          	2013	M06	       31974	R
Mississippi	LAUCA282000000000005          	2014	M06	       29585	R
Mississippi	LAUCA282000000000005          	2015	M06	       30430	R
Mississippi	LAUCA282000000000006          	2010	M06	       34614	R
Mississippi	LAUCA282000000000006          	2011	M06	       36262	R
Mississippi	LAUCA282000000000006          	2012	M06	       36325	R
Mississippi	LAUCA282000000000006          	2013	M06	       36173	R
Mississippi	LAUCA282000000000006          	2014	M06	       33261	R
Mississippi	LAUCA282000000000006          	2015	M06	       33280	R
Mississippi	LAUCA282980000000003          	2010	M06	         9.4	R
Mississippi	LAUCA282980000000003          	2011	M06	         9.5	R
Mississippi	LAUCA282980000000003          	2012	M06	         8.7	R
Mississippi	LAUCA282980000000003          	2013	M06	         8.4	R
Mississippi	LAUCA282980000000003          	2014	M06	         7.2	R
Mississippi	LAUCA282980000000003          	2015	M06	         6.3	R
Mississippi	LAUCA282980000000004          	2010	M06	       29282	R
Mississippi	LAUCA282980000000004          	2011	M06	       30712	R
Mississippi	LAUCA282980000000004          	2012	M06	       27748	R
Mississippi	LAUCA282980000000004          	2013	M06	       25788	R
Mississippi	LAUCA282980000000004          	2014	M06	       21899	R
Mississippi	LAUCA282980000000004          	2015	M06	       19358	R
Mississippi	LAUCA282980000000005          	2010	M06	      283223	R
Mississippi	LAUCA282980000000005          	2011	M06	      293673	R
Mississippi	LAUCA282980000000005          	2012	M06	      290941	R
Mississippi	LAUCA282980000000005          	2013	M06	      282759	R
Mississippi	LAUCA282980000000005          	2014	M06	      280212	R
Mississippi	LAUCA282980000000005          	2015	M06	      289400	R
Mississippi	LAUCA282980000000006          	2010	M06	      312505	R
Mississippi	LAUCA282980000000006          	2011	M06	      324385	R
Mississippi	LAUCA282980000000006          	2012	M06	      318689	R
Mississippi	LAUCA282980000000006          	2013	M06	      308547	R
Mississippi	LAUCA282980000000006          	2014	M06	      302111	R
Mississippi	LAUCA282980000000006          	2015	M06	      308758	R
Mississippi	LAUCN280010000000003          	2010	M06	        11.6	R
Mississippi	LAUCN280010000000003          	2011	M06	        12.0	R
Mississippi	LAUCN280010000000003          	2012	M06	        11.0	R
Mississippi	LAUCN280010000000003          	2013	M06	        10.5	R
Mississippi	LAUCN280010000000003          	2014	M06	         9.7	R
Mississippi	LAUCN280010000000003          	2015	M06	         9.1	R
Mississippi	LAUCN280010000000004          	2010	M06	        1485	R
Mississippi	LAUCN280010000000004          	2011	M06	        1603	R
Mississippi	LAUCN280010000000004          	2012	M06	        1387	R
Mississippi	LAUCN280010000000004          	2013	M06	        1281	R
Mississippi	LAUCN280010000000004          	2014	M06	        1165	R
Mississippi	LAUCN280010000000004          	2015	M06	        1076	R
Mississippi	LAUCN280010000000005          	2010	M06	       11303	R
Mississippi	LAUCN280010000000005          	2011	M06	       11714	R
Mississippi	LAUCN280010000000005          	2012	M06	       11262	R
Mississippi	LAUCN280010000000005          	2013	M06	       10921	R
Mississippi	LAUCN280010000000005          	2014	M06	       10845	R
Mississippi	LAUCN280010000000005          	2015	M06	       10711	R
Mississippi	LAUCN280010000000006          	2010	M06	       12788	R
Mississippi	LAUCN280010000000006          	2011	M06	       13317	R
Mississippi	LAUCN280010000000006          	2012	M06	       12649	R
Mississippi	LAUCN280010000000006          	2013	M06	       12202	R
Mississippi	LAUCN280010000000006          	2014	M06	       12010	R
Mississippi	LAUCN280010000000006          	2015	M06	       11787	R
Mississippi	LAUCN280030000000003          	2010	M06	        11.4	R
Mississippi	LAUCN280030000000003          	2011	M06	        11.1	R
Mississippi	LAUCN280030000000003          	2012	M06	         9.0	R
Mississippi	LAUCN280030000000003          	2013	M06	         8.5	R
Mississippi	LAUCN280030000000003          	2014	M06	         7.3	R
Mississippi	LAUCN280030000000003          	2015	M06	         6.3	R
Mississippi	LAUCN280030000000004          	2010	M06	        1829	R
Mississippi	LAUCN280030000000004          	2011	M06	        1804	R
Mississippi	LAUCN280030000000004          	2012	M06	        1466	R
Mississippi	LAUCN280030000000004          	2013	M06	        1340	R
Mississippi	LAUCN280030000000004          	2014	M06	        1104	R
Mississippi	LAUCN280030000000004          	2015	M06	        1011	R
Mississippi	LAUCN280030000000005          	2010	M06	       14155	R
Mississippi	LAUCN280030000000005          	2011	M06	       14447	R
Mississippi	LAUCN280030000000005          	2012	M06	       14794	R
Mississippi	LAUCN280030000000005          	2013	M06	       14377	R
Mississippi	LAUCN280030000000005          	2014	M06	       14117	R
Mississippi	LAUCN280030000000005          	2015	M06	       15075	R
Mississippi	LAUCN280030000000006          	2010	M06	       15984	R
Mississippi	LAUCN280030000000006          	2011	M06	       16251	R
Mississippi	LAUCN280030000000006          	2012	M06	       16260	R
Mississippi	LAUCN280030000000006          	2013	M06	       15717	R
Mississippi	LAUCN280030000000006          	2014	M06	       15221	R
Mississippi	LAUCN280030000000006          	2015	M06	       16086	R
Mississippi	LAUCN280050000000003          	2010	M06	        13.0	R
Mississippi	LAUCN280050000000003          	2011	M06	        12.7	R
Mississippi	LAUCN280050000000003          	2012	M06	        11.1	R
Mississippi	LAUCN280050000000003          	2013	M06	        10.5	R
Mississippi	LAUCN280050000000003          	2014	M06	         8.8	R
Mississippi	LAUCN280050000000003          	2015	M06	         8.8	R
Mississippi	LAUCN280050000000004          	2010	M06	         634	R
Mississippi	LAUCN280050000000004          	2011	M06	         633	R
Mississippi	LAUCN280050000000004          	2012	M06	         530	R
Mississippi	LAUCN280050000000004          	2013	M06	         482	R
Mississippi	LAUCN280050000000004          	2014	M06	         390	R
Mississippi	LAUCN280050000000004          	2015	M06	         401	R
Mississippi	LAUCN280050000000005          	2010	M06	        4242	R
Mississippi	LAUCN280050000000005          	2011	M06	        4362	R
Mississippi	LAUCN280050000000005          	2012	M06	        4226	R
Mississippi	LAUCN280050000000005          	2013	M06	        4091	R
Mississippi	LAUCN280050000000005          	2014	M06	        4040	R
Mississippi	LAUCN280050000000005          	2015	M06	        4180	R
Mississippi	LAUCN280050000000006          	2010	M06	        4876	R
Mississippi	LAUCN280050000000006          	2011	M06	        4995	R
Mississippi	LAUCN280050000000006          	2012	M06	        4756	R
Mississippi	LAUCN280050000000006          	2013	M06	        4573	R
Mississippi	LAUCN280050000000006          	2014	M06	        4430	R
Mississippi	LAUCN280050000000006          	2015	M06	        4581	R
Mississippi	LAUCN280070000000003          	2010	M06	        12.9	R
Mississippi	LAUCN280070000000003          	2011	M06	        12.0	R
Mississippi	LAUCN280070000000003          	2012	M06	        10.5	R
Mississippi	LAUCN280070000000003          	2013	M06	        10.2	R
Mississippi	LAUCN280070000000003          	2014	M06	         9.4	R
Mississippi	LAUCN280070000000003          	2015	M06	         8.3	R
Mississippi	LAUCN280070000000004          	2010	M06	        1023	R
Mississippi	LAUCN280070000000004          	2011	M06	         969	R
Mississippi	LAUCN280070000000004          	2012	M06	         810	R
Mississippi	LAUCN280070000000004          	2013	M06	         754	R
Mississippi	LAUCN280070000000004          	2014	M06	         678	R
Mississippi	LAUCN280070000000004          	2015	M06	         592	R
Mississippi	LAUCN280070000000005          	2010	M06	        6882	R
Mississippi	LAUCN280070000000005          	2011	M06	        7137	R
Mississippi	LAUCN280070000000005          	2012	M06	        6889	R
Mississippi	LAUCN280070000000005          	2013	M06	        6659	R
Mississippi	LAUCN280070000000005          	2014	M06	        6525	R
Mississippi	LAUCN280070000000005          	2015	M06	        6559	R
Mississippi	LAUCN280070000000006          	2010	M06	        7905	R
Mississippi	LAUCN280070000000006          	2011	M06	        8106	R
Mississippi	LAUCN280070000000006          	2012	M06	        7699	R
Mississippi	LAUCN280070000000006          	2013	M06	        7413	R
Mississippi	LAUCN280070000000006          	2014	M06	        7203	R
Mississippi	LAUCN280070000000006          	2015	M06	        7151	R
Mississippi	LAUCN280090000000003          	2010	M06	        12.6	R
Mississippi	LAUCN280090000000003          	2011	M06	        13.5	R
Mississippi	LAUCN280090000000003          	2012	M06	        11.3	R
Mississippi	LAUCN280090000000003          	2013	M06	        11.8	R
Mississippi	LAUCN280090000000003          	2014	M06	        10.3	R
Mississippi	LAUCN280090000000003          	2015	M06	         9.3	R
Mississippi	LAUCN280090000000004          	2010	M06	         415	R
Mississippi	LAUCN280090000000004          	2011	M06	         463	R
Mississippi	LAUCN280090000000004          	2012	M06	         376	R
Mississippi	LAUCN280090000000004          	2013	M06	         377	R
Mississippi	LAUCN280090000000004          	2014	M06	         313	R
Mississippi	LAUCN280090000000004          	2015	M06	         281	R
Mississippi	LAUCN280090000000005          	2010	M06	        2883	R
Mississippi	LAUCN280090000000005          	2011	M06	        2974	R
Mississippi	LAUCN280090000000005          	2012	M06	        2958	R
Mississippi	LAUCN280090000000005          	2013	M06	        2827	R
Mississippi	LAUCN280090000000005          	2014	M06	        2715	R
Mississippi	LAUCN280090000000005          	2015	M06	        2747	R
Mississippi	LAUCN280090000000006          	2010	M06	        3298	R
Mississippi	LAUCN280090000000006          	2011	M06	        3437	R
Mississippi	LAUCN280090000000006          	2012	M06	        3334	R
Mississippi	LAUCN280090000000006          	2013	M06	        3204	R
Mississippi	LAUCN280090000000006          	2014	M06	        3028	R
Mississippi	LAUCN280090000000006          	2015	M06	        3028	R
Mississippi	LAUCN280110000000003          	2010	M06	        12.2	R
Mississippi	LAUCN280110000000003          	2011	M06	        12.3	R
Mississippi	LAUCN280110000000003          	2012	M06	        11.6	R
Mississippi	LAUCN280110000000003          	2013	M06	        12.0	R
Mississippi	LAUCN280110000000003          	2014	M06	        10.6	R
Mississippi	LAUCN280110000000003          	2015	M06	         9.2	R
Mississippi	LAUCN280110000000004          	2010	M06	        1784	R
Mississippi	LAUCN280110000000004          	2011	M06	        1846	R
Mississippi	LAUCN280110000000004          	2012	M06	        1674	R
Mississippi	LAUCN280110000000004          	2013	M06	        1668	R
Mississippi	LAUCN280110000000004          	2014	M06	        1417	R
Mississippi	LAUCN280110000000004          	2015	M06	        1233	R
Mississippi	LAUCN280110000000005          	2010	M06	       12802	R
