,Issue_date,Name,Name_of_Issuer,CUSIP,Shares
0,2015-11-10,Adirondack_Funds,ABBOTT LABS,2824100,"6,625"
1,2015-11-10,Adirondack_Funds,ABBVIE INC,00287Y109,"6,300"
2,2015-11-10,Adirondack_Funds,ALCOA INC,13817101,"45,800"
3,2015-11-10,Adirondack_Funds,ALLSCRIPTS HEALTHCARE SOLUTN,01988P108,"349,059"
4,2015-11-10,Adirondack_Funds,AT&T INC,00206R102,"13,800"
5,2015-11-10,Adirondack_Funds,AUTOBYTEL INC,05275N205,"175,170"
6,2015-11-10,Adirondack_Funds,AXCELIS TECHNOLOGIES INC,54540109,"1,335,963"
7,2015-11-10,Adirondack_Funds,AXT INC,00246W103,"277,040"
8,2015-11-10,Adirondack_Funds,BARRETT BILL CORP,06846N104,"57,239"
9,2015-11-10,Adirondack_Funds,BENCHMARK ELECTRS INC,08160H101,"56,173"
10,2015-11-10,Adirondack_Funds,BLACK DIAMOND INC,09202G101,"775,561"
11,2015-11-10,Adirondack_Funds,BLOUNT INTL INC,95180105,"673,194"
12,2015-11-10,Adirondack_Funds,BOSTON SCIENTIFIC CORP,101137107,"34,025"
13,2015-11-10,Adirondack_Funds,BOULDER BRANDS INC,101405108,"450,166"
14,2015-11-10,Adirondack_Funds,BROCADE COMMUNICATIONS SYS I,111621306,"259,487"
15,2015-11-10,Adirondack_Funds,BROOKLINE BANCORP INC DEL,11373M107,"350,140"
16,2015-11-10,Adirondack_Funds,CALLAWAY GOLF CO,131193104,"470,181"
17,2015-11-10,Adirondack_Funds,CARRIZO OIL & GAS INC,144577103,"34,800"
18,2015-11-10,Adirondack_Funds,CLOUD PEAK ENERGY INC,18911Q102,"1,051,395"
19,2015-11-10,Adirondack_Funds,CNO FINL GROUP INC,12621E103,"232,706"
20,2015-11-10,Adirondack_Funds,COCA COLA ENTERPRISES INC NE,19122T109,"12,450"
21,2015-11-10,Adirondack_Funds,COLUMBIA PIPELINE GROUP INC,198280109,"13,175"
22,2015-11-10,Adirondack_Funds,CONSOLIDATED EDISON INC,209115104,"8,225"
23,2015-11-10,Adirondack_Funds,COVANTA HLDG CORP,22282E102,"291,000"
24,2015-11-10,Adirondack_Funds,CRYOLIFE INC,228903100,"272,923"
25,2015-11-10,Adirondack_Funds,CSS INDS INC,125906107,"97,998"
26,2015-11-10,Adirondack_Funds,CTS CORP,126501105,"188,867"
27,2015-11-10,Adirondack_Funds,DEAN FOODS CO,242370203,"255,658"
28,2015-11-10,Adirondack_Funds,DYNEGY INC NEW,26817R108,"167,106"
29,2015-11-10,Adirondack_Funds,EASTMAN KODAK CO,277461406,"260,599"
30,2015-11-10,Adirondack_Funds,ELECTRO SCIENTIFIC INDS,285229100,"703,068"
31,2015-11-10,Adirondack_Funds,EMCOR GROUP INC,29084Q100,"17,699"
32,2015-11-10,Adirondack_Funds,ENDURANCE SPECIALTY HLDGS LT,G30397106,"96,988"
33,2015-11-10,Adirondack_Funds,EXELON CORP,30161N101,"11,840"
34,2015-11-10,Adirondack_Funds,EXPRESS INC,30219E103,"221,434"
35,2015-11-10,Adirondack_Funds,FIRSTMERIT CORP,337915102,"316,139"
36,2015-11-10,Adirondack_Funds,FLY LEASING LTD,34407D109,"416,941"
37,2015-11-10,Adirondack_Funds,FRESH DEL MONTE PRODUCE INC,G36738105,"153,667"
38,2015-11-10,Adirondack_Funds,GAIAM INC,36268Q103,"229,091"
39,2015-11-10,Adirondack_Funds,GENERAL ELECTRIC CO,369604103,"14,900"
40,2015-11-10,Adirondack_Funds,GENWORTH FINL INC,37247D106,"357,832"
